"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd"
"6561106BF1";"AWARD";"2016-02-09 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"0"
"6561106BF1";"CONTRACT-START";"2016-02-09 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"0"
"6561106BF1";"STATUS";"2016-10-31 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"265"
"6561106BF1";"STATUS";"2017-03-30 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"415"
"6561106BF1";"CONTRACT-END";"2017-04-30 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"446"
"6561106BF1";"STATUS";"2017-04-30 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"446"
"6561106BF1";"VARIANT";"2017-04-30 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"446"
"6561164BCE";"CREATION";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"6561164BCE";"AWARD";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"6561164BCE";"CONTRACT-START";"2016-03-30 00:00:00.000";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"69"
"6561164BCE";"VARIANT";"2018-02-23 00:00:00.000";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"764"
"6561164BCE";"CONTRACT-END";"2018-06-30 00:00:00.000";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"891"
"656117333E";"CREATION";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"656117333E";"AWARD";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"656117333E";"CONTRACT-START";"2016-03-30 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"69"
"656117333E";"STATUS";"2016-06-30 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"161"
"656117333E";"STATUS";"2016-12-31 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"345"
"656117333E";"STATUS";"2017-06-30 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"526"
"656117333E";"VARIANT";"2018-02-23 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"764"
"656117333E";"CONTRACT-END";"2018-06-30 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"891"
"656117333E";"STATUS";"2018-06-30 00:00:00.000";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"891"
"6561183B7C";"CREATION";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"6561183B7C";"AWARD";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0"
"6561183B7C";"CONTRACT-START";"2016-03-30 00:00:00.000";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"69"
"6561183B7C";"VARIANT";"2018-02-23 00:00:00.000";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"764"
"6561183B7C";"CONTRACT-END";"2018-06-30 00:00:00.000";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"891"
"65672076A7";"CREATION";"2016-01-29 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"0"
"65672076A7";"AWARD";"2016-05-30 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"122"
"65672076A7";"CONTRACT-START";"2016-05-30 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"122"
"65672076A7";"STATUS";"2016-12-31 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"337"
"65672076A7";"STATUS";"2017-06-30 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"518"
"65672076A7";"STATUS";"2017-12-31 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"702"
"65672076A7";"STATUS";"2018-06-20 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"873"
"65672076A7";"VARIANT";"2018-10-09 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"984"
"65672076A7";"STATUS";"2019-02-05 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"1103"
"65672076A7";"CONTRACT-END";"2019-05-29 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"1216"
"65672076A7";"STATUS";"2019-06-18 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"1236"
"65672076A7";"STATUS";"2019-09-23 00:00:00.000";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"1333"
"6568067C57";"CREATION";"2016-01-26 00:00:00.000";"SARDEGNA";"51900.0";"FORNITURE";"ORDINARI";"0";"44";"198.96";"0"
"6568067C57";"AWARD";"2016-03-04 00:00:00.000";"SARDEGNA";"51900.0";"FORNITURE";"ORDINARI";"0";"44";"198.96";"38"
