"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"758824952B";"CREATION";"2018-08-21 00:00:00+00:00";"LAZIO";"750000.0";"FORNITURE";"ORDINARI";"0";"44";"1199.04";"0";"CREATION";"2018-08-21 00:00:00+00:00";"6282";"955";"758824952B"
"7588684C22";"CREATION";"2018-08-30 00:00:00+00:00";"PUGLIA";"221510.38";"FORNITURE";"ORDINARI";"0";"42";"169.04";"0";"CREATION";"2018-08-30 00:00:00+00:00";"6297";"956";"7588684C22"
"75888114F2";"CREATION";"2018-08-01 00:00:00+00:00";"CENTRALE";"81967.0";"FORNITURE";"ORDINARI";"0";"32";"280.0";"0";"CREATION";"2018-08-01 00:00:00+00:00";"6303";"957";"75888114F2"
"7590375F96";"CREATION";"2018-09-10 00:00:00+00:00";"PUGLIA";"218500.0";"FORNITURE";"ORDINARI";"0";"72";"262.0";"0";"CREATION";"2018-09-10 00:00:00+00:00";"6308";"958";"7590375F96"
"7591508694";"CREATION";"2018-07-31 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"40000.0";"FORNITURE";"ORDINARI";"1";"15";"578.04";"0";"CREATION";"2018-07-31 00:00:00+00:00";"6313";"959";"7591508694"
"7593433B22";"CREATION";"2018-08-14 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"51594.24";"FORNITURE";"ORDINARI";"0";"33";"946.04";"0";"CREATION";"2018-08-14 00:00:00+00:00";"6318";"960";"7593433B22"
"7595843FEC";"CREATION";"2018-09-05 00:00:00+00:00";"CENTRALE";"47000.0";"FORNITURE";"ORDINARI";"0";"38";"513.04";"0";"CREATION";"2018-09-05 00:00:00+00:00";"6323";"961";"7595843FEC"
"7595845197";"CREATION";"2018-09-05 00:00:00+00:00";"CENTRALE";"60000.0";"FORNITURE";"ORDINARI";"0";"32";"253.0";"0";"CREATION";"2018-09-05 00:00:00+00:00";"6329";"962";"7595845197"
"7601964B23";"CREATION";"2018-09-18 00:00:00+00:00";"CENTRALE";"120000.0";"FORNITURE";"ORDINARI";"0";"34";"891.04";"0";"CREATION";"2018-09-18 00:00:00+00:00";"6334";"963";"7601964B23"
"7603072D7C";"CREATION";"2018-08-24 00:00:00+00:00";"LAZIO";"187481.27";"FORNITURE";"ORDINARI";"0";"45";"392.0";"0";"CREATION";"2018-08-24 00:00:00+00:00";"6339";"964";"7603072D7C"
"76030825BF";"CREATION";"2018-09-11 00:00:00+00:00";"LAZIO";"97005.23";"FORNITURE";"ORDINARI";"0";"45";"323.0";"0";"CREATION";"2018-09-11 00:00:00+00:00";"6347";"965";"76030825BF"
"7603102640";"CREATION";"2018-09-11 00:00:00+00:00";"LAZIO";"169551.46";"FORNITURE";"ORDINARI";"0";"9";"393.0";"0";"CREATION";"2018-09-11 00:00:00+00:00";"6355";"966";"7603102640"
"7603112E7E";"CREATION";"2018-08-24 00:00:00+00:00";"LAZIO";"190583.36";"FORNITURE";"ORDINARI";"0";"9";"391.0";"0";"CREATION";"2018-08-24 00:00:00+00:00";"6363";"967";"7603112E7E"
"7603133FD2";"CREATION";"2018-09-11 00:00:00+00:00";"LAZIO";"150390.3";"FORNITURE";"ORDINARI";"0";"45";"301.0";"0";"CREATION";"2018-09-11 00:00:00+00:00";"6371";"968";"7603133FD2"
"760315954A";"CREATION";"2018-09-11 00:00:00+00:00";"LAZIO";"134106.0";"FORNITURE";"ORDINARI";"0";"45";"381.0";"0";"CREATION";"2018-09-11 00:00:00+00:00";"6378";"969";"760315954A"
